query,answer
"One afternoon, a pilot was flying a small airplane when it suddenly crossed into a neighboring state at a very high altitude.","inadmissible, because the attorney-client privilege prevents such a breach of confidential communications."
"A state statute provides: ""Whenever a person knows or should know that he (or she) is being arrested by a police officer, it is the duty of such person to refrain from using force or any weapon in resisting arrest. "" Violation of the statute is made punishable by fine and/or imprisonment.","not guilty, if the arrest was lawful, provided that the jury believes the suspect's account."
"A taxpayer was notified by the government that her individual income tax was overpaid by $1,012. 69.",admissible as an admission.
The new signature requirement was necessary to prevent fraud and segregation.,The authenticating requirement was necessary to further a compelling state interest.
A defendant was not angry at his friend for marrying his former girlfriend.,He intended only to wound the friend.
"The accused made a confession to the police, but his defense attorney needs to find out if the confession is inadmissible. In which of the following situations would a confession be admissible?",The defendant's statement was involuntary.
"A devastating earthquake struck a foreign country. The earthquake destroyed thousands of homes and buildings. Thousands of residents were killed, injured, and left homeless by the earthquake.","valid, because employees of an executive agency can be required to perform such emergency functions."
Which of the following is a warrantless search exception?,Cold pursuit
"The store paid a local contractor to come in and hang the mirror. A few days after the carpenter installed the mirror, the mirror suddenly fell from the wall because of a defect in the manufacturer's brackets. It struck a shopper on the head, causing serious injuries to him. If the shopper asserts a claim against the contractor based on negligence in tort, the plaintiff will","not prevail, because the carpenter was not engaged in the sale of the mirror."
"A man who was separated but never divorced from his first wife, had no first wife, married another woman, and lived with her as husband and wife. The man and his purported second wife bought a home together as tenants by the entirety. They lived together for a few years, when the man was accused and convicted of killing his purported wife. He was given a life sentence. The decedent's estate brought a quiet title action to declare the property","No, the court will as a policy matter recognize the murderer's pre-slaying right to one-half of the property as a tenant in common."
"Bill, a single man, owned pasture land in Deerwoods, Florida, which he leased to a tenant. He also owned a condominium in Miami, which he held for investment. In his will, he devised the pasture land to his son Tommy and the condominium to his daughter Julie. All other assets would pass equally to Tommy and Julie.","Kathy gets the condominium regardless of the prenuptial agreement, Tommy takes the pasture land and Tommy and Julie split the rest of the estate."
"The so-called installment land contract has not been popular as a substitute for the mortgage or deed of trust. Under such a contract, the seller agrees to accept, and the buyer agrees to pay, the purchase price in installments over a stipulated period of time. The vendor retains legal title as security for the payment of the purchase price; and the vendee has equitable title under the doctrine of equitable conversion.","Yes, because it is a reasonable regulation of the procedure to be followed in such cases and does not substantially diminish the underlying obligations of the buyer."
"A woman placed the following advertisement in her local newspaper:""Public Auction Sale... With Reserve December 7, 10:00 a. m. 110 Walnut St., City, StateEntire furnishings of home must go: antiques, piano, pool table, appliances, tables, stereo system, etc. ""On the morning of December 7, a group of approximately 20 people showed up at the man's home. The first item the man put up for bid","prevail, because goods put up at an auction ""without reserve"" may not be withdrawn."
"A defendant offers into evidence his computer business records to show that he made payments on accounts in his business. The defendant testified that he kept the records on a regular business basis,  but did not explain the records in any other way. The government objected to the records as being hearsay and not authenticated. What will the court decide regarding the admissibility of the computer business records?",The court will require a greater foundation to establish the reliability of the records.
A regulation does not require that all workers undergo drug testing for the safety of the general public.,"The rational basis test, because the regulation need only be related to a legitimate state interest to be valid."
"A man was driving while sober. He was speeding down a center city street, veering from lane to lane, when he lost control of his car while going over a slick puddle of water. Without realizing it, he drove his car onto the sidewalk and killed two persons. What common law crime most appropriately fits the man's situation?",Involuntary manslaughter in that it was a killing committed while engaging in reckless activity but without the intent to kill.
"The authorities arrested a man without a warrant and held him imprisoned for 14 days without a determination of probable cause. He finally saw a public defender who filed a motion to dismiss alleging an unconstitutional detention in violation of due process. The prosecution countered that the state's rules allowed for detention without a probable cause hearing for up to 30 days, and that the procedure was constitutional.","Yes, because when the state arrests someone without a warrant it must provide a prompt probable cause determination."
The purchaser,"The man, because the easement was extinguished."
